,Unnamed: 0,Url_logo,Name,League,Overall_rating,Attack,Mid,Defense,Defensive_style,Offensive_style,Captain,SFK,LFK,LSFK,RSFK,PEN,Left_corner,Right_corner,XI_average_age,Team_average_age,Transfert_budget,Home_stadium,Rival_team,url_fbref,url_current_fbref,team_gender,from,to,comps,champs,other_names,logo
10,10,https://cdn.sofifa.com/teams/1795/light_60.png,Watford, English Premier League (1),77,76,78,75,Balanced,Long Ball,T. Deeney,Deulofeu,Deulofeu,Deulofeu,Deulofeu,T. Deeney,E. Capoue,E. Capoue,27.64,25.64,Euros-38.5M,Vicarage Road,Luton Town,https://fbref.com/en/squads/2abfe087/history/Watford-Stats,https://fbref.com/en/squads/2abfe087/Watford-Stat,M,1999-2000,2019-2020,20,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/2abfe087.png
11,11,https://cdn.sofifa.com/teams/1799/light_60.png,Crystal Palace, English Premier League (1),77,73,78,76,Balanced,Balanced,L. Milivojević,L. Milivojević,L. Milivojević,L. Milivojević,L. Milivojević,L. Milivojević,L. Milivojević,L. Milivojević,29.18,25.21,Euros-34.5M,Selhurst Park,Brighton & Hove Albion,https://fbref.com/en/squads/47c64c55/history/Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stat,M,1992-1993,2019-2020,22,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/47c64c55.png
12,12,https://cdn.sofifa.com/teams/13/light_60.png,Newcastle United, English Premier League (1),77,75,78,77,Balanced,Long Ball,J. Lascelles,J. Shelvey,J. Shelvey,J. Shelvey,J. Shelvey,Joelinton,J. Shelvey,J. Shelvey,26.0,25.82,Euros-25.5M,Sports Direct Arena (St James' Park),Sunderland,https://fbref.com/en/squads/b2b47a98/history/Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stat,M,1993-1994,2019-2020,27,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b2b47a98.png
13,13,https://cdn.sofifa.com/teams/2/light_60.png,Aston Villa, English Premier League (1),76,77,75,75,Balanced,Balanced,J. Grealish,J. Grealish,J. Grealish,J. Grealish,J. Grealish,A. El Ghazi,J. Grealish,M. Targett,25.09,24.36,Euros-37.5M,Villa Park,West Bromwich Albion,https://fbref.com/en/squads/8602292d/history/Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/Aston-Villa-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/8602292d.png
14,14,https://cdn.sofifa.com/teams/1796/light_60.png,Burnley, English Premier League (1),76,77,76,76,Balanced,Long Ball,B. Mee,A. Westwood,A. Westwood,D. McNeil,A. Westwood,A. Barnes,A. Westwood,D. McNeil,27.45,25.72,Euros-25M,Turf Moor,Blackburn Rovers,https://fbref.com/en/squads/943e8050/history/Burnley-Stats,https://fbref.com/en/squads/943e8050/Burnley-Stat,M,2001-2002,2019-2020,19,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/943e8050.png
15,15,https://cdn.sofifa.com/teams/1808/light_60.png,Brighton & Hove Albion, English Premier League (1),76,75,76,76,Balanced,Possession,L. Dunk,P. Groß,P. Groß,P. Groß,P. Groß,P. Groß,P. Groß,P. Groß,26.55,24.3,Euros-32M,The Amex Stadium,Crystal Palace,https://fbref.com/en/squads/d07537b9/history/Brighton--Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/Brighton--Hove-Albion-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d07537b9.png
16,16,https://cdn.sofifa.com/teams/17/light_60.png,Southampton, English Premier League (1),76,76,76,76,Balanced,Balanced,P. Højbjerg,J. Ward-Prowse,J. Ward-Prowse,J. Ward-Prowse,J. Ward-Prowse,J. Ward-Prowse,J. Ward-Prowse,J. Ward-Prowse,25.91,22.52,Euros-35M,St Mary's Stadium,Portsmouth,https://fbref.com/en/squads/33c895d4/history/Southampton-Stats,https://fbref.com/en/squads/33c895d4/Southampton-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/33c895d4.png
17,18,https://cdn.sofifa.com/teams/1794/light_60.png,Sheffield United, English Premier League (1),75,73,77,75,Balanced,Long Ball,B. Sharp,O. Norwood,O. Norwood,O. Norwood,O. Norwood,O. Norwood,O. Norwood,J. Fleck,26.27,25.27,Euros-18M,Bramall Lane,Sheffield Wednesday,https://fbref.com/en/squads/1df6b87e/history/Sheffield-United-Stats,https://fbref.com/en/squads/1df6b87e/Sheffield-United-Stat,M,1992-1993,2019-2020,21,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/1df6b87e.png
18,19,https://cdn.sofifa.com/teams/1792/light_60.png,Norwich City, English Premier League (1),74,75,74,72,Balanced,Balanced,G. Hanley,E. Buendía,K. McLean,E. Buendía,E. Buendía,T. Pukki,E. Buendía,E. Buendía,25.36,23.48,Euros-25M,Carrow Road,Ipswich Town,https://fbref.com/en/squads/1c781004/history/Norwich-City-Stats,https://fbref.com/en/squads/1c781004/Norwich-City-Stat,M,1992-1993,2019-2020,22,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/1c781004.png
19,20,https://cdn.sofifa.com/teams/8/light_60.png,Leeds United, English League Championship (2),73,73,74,73,Press After Possession Loss,Balanced,L. Cooper,Pablo Hernández,Pablo Hernández,Pablo Hernández,Pablo Hernández,P. Bamford,K. Phillips,J. Harrison,25.45,23.13,Euros-17M,Eastpoint Arena (Football Ground),Huddersfield Town,https://fbref.com/en/squads/5bfb9659/history/Leeds-United-Stats,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/5bfb9659.png
20,21,https://cdn.sofifa.com/teams/109/light_60.png,West Bromwich Albion, English League Championship (2),73,72,74,71,Balanced,Balanced,J. Livermore,Matheus Pereira,Matheus Pereira,Matheus Pereira,Matheus Pereira,Matheus Pereira,F. Krovinović,Matheus Pereira,25.55,25.97,Euros-18M,The Hawthorns,Wolverhampton Wanderers,https://fbref.com/en/squads/60c6b05f/history/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/West-Bromwich-Albion-Stat,M,2001-2002,2019-2020,19,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/60c6b05f.png
21,22,https://cdn.sofifa.com/teams/144/light_60.png,Fulham, English League Championship (2),73,75,73,71,Balanced,Balanced,T. Cairney,T. Cairney,T. Cairney,T. Cairney,T. Cairney,A. Mitrović,Ivan Cavaleiro,J. Bryan,26.73,24.8,Euros-18.5M,Craven Cottage,Queens Park Rangers,https://fbref.com/en/squads/fd962109/history/Fulham-Stats,https://fbref.com/en/squads/fd962109/Fulham-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/fd962109.png
22,23,https://cdn.sofifa.com/teams/14/light_60.png,Nottingham Forest, English League Championship (2),72,73,72,72,Drop Back,Fast Build Up,B. Watson,J. Lolley,J. Lolley,J. Lolley,J. Lolley,L. Grabban,Tiago Silva,J. Lolley,26.18,25.13,Euros-13M,Forest Park Stadium (Square Ground),Derby County,https://fbref.com/en/squads/e4a775cb/history/Nottingham-Forest-Stats,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stat,M,1992-1993,2019-2020,24,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/e4a775cb.png
23,24,https://cdn.sofifa.com/teams/1925/light_60.png,Brentford, English League Championship (2),72,73,71,72,Pressure On Heavy Touch,Balanced,P. Jansson,S. Benrahma,S. Benrahma,S. Benrahma,S. Benrahma,S. Benrahma,S. Benrahma,S. Benrahma,23.64,22.6,Euros-8M,Court Lane,Queens Park Rangers,https://fbref.com/en/squads/cd051869/history/Brentford-Stats,https://fbref.com/en/squads/cd051869/Brentford-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/cd051869.png
24,25,https://cdn.sofifa.com/teams/1961/light_60.png,Cardiff City, English League Championship (2),72,71,71,71,Balanced,Long Ball,S. Morrison,M. Pack,M. Pack,M. Pack,M. Pack,R. Glatzel,M. Pack,M. Pack,27.0,26.17,Euros-12M,Cardiff City Stadium,Swansea City,https://fbref.com/en/squads/75fae011/history/Cardiff-City-Stats,https://fbref.com/en/squads/75fae011/Cardiff-City-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/75fae011.png
25,26,https://cdn.sofifa.com/teams/1801/light_60.png,Preston North End, English League Championship (2),71,70,71,71,Press After Possession Loss,Long Ball,A. Browne,D. Johnson,D. Johnson,D. Johnson,D. Johnson,D. Johnson,A. Browne,D. Johnson,25.09,24.9,Euros-3.5M,Ivy Lane,Blackpool,https://fbref.com/en/squads/22df8478/history/Preston-North-End-Stats,https://fbref.com/en/squads/22df8478/Preston-North-End-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/22df8478.png
26,27,https://cdn.sofifa.com/teams/1806/light_60.png,Stoke City, English League Championship (2),71,69,71,71,Pressure On Heavy Touch,Balanced,D. Batth,S. Clucas,J. McClean,N. Powell,S. Clucas,T. Campbell,J. McClean,J. McClean,26.55,25.2,Euros-18.5M,Britannia Stadium,Port Vale,https://fbref.com/en/squads/17892952/history/Stoke-City-Stats,https://fbref.com/en/squads/17892952/Stoke-City-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/17892952.png
27,28,https://cdn.sofifa.com/teams/1807/light_60.png,Sheffield Wednesday, English League Championship (2),71,71,71,69,Balanced,Balanced,T. Lees,B. Bannan,B. Bannan,B. Bannan,B. Bannan,B. Bannan,B. Bannan,B. Bannan,26.82,26.1,Euros-6M,Forest Park Stadium (Square Ground),Sheffield United,https://fbref.com/en/squads/bba7d733/history/Sheffield-Wednesday-Stats,https://fbref.com/en/squads/bba7d733/Sheffield-Wednesday-Stat,M,1992-1993,2019-2020,27,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/bba7d733.png
28,29,https://cdn.sofifa.com/teams/91/light_60.png,Derby County, English League Championship (2),71,71,71,71,Pressure On Heavy Touch,Balanced,C. Davies,T. Lawrence,T. Lawrence,T. Lawrence,T. Lawrence,M. Waghorn,T. Lawrence,T. Lawrence,25.64,24.57,Euros-9M,Molton Road (Sheldon Stadium),Nottingham Forest,https://fbref.com/en/squads/26ab47ee/history/Derby-County-Stats,https://fbref.com/en/squads/26ab47ee/Derby-County-Stat,M,1996-1997,2019-2020,24,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/26ab47ee.png
29,30,https://cdn.sofifa.com/teams/1919/light_60.png,Bristol City, English League Championship (2),71,72,71,71,Balanced,Balanced,K. Smith,N. Eliasson,N. Eliasson,N. Wells,N. Eliasson,F. Diedhiou,N. Eliasson,N. Eliasson,26.91,25.07,Euros-10M,Court Lane,Bristol Rovers,https://fbref.com/en/squads/93493607/history/Bristol-City-Stats,https://fbref.com/en/squads/93493607/Bristol-City-Stat,M,2002-2003,2019-2020,18,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/93493607.png
30,31,https://cdn.sofifa.com/teams/1793/light_60.png,Reading, English League Championship (2),70,70,71,70,Balanced,Balanced,L. Moore,J. Swift,J. Swift,J. Swift,J. Swift,J. Swift,J. Swift,J. Swift,24.82,24.7,Euros-8.5M,Molton Road (Sheldon Stadium),Swindon Town,https://fbref.com/en/squads/b0ac61ff/history/Reading-Stats,https://fbref.com/en/squads/b0ac61ff/Reading-Stat,M,2002-2003,2019-2020,18,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b0ac61ff.png
31,32,https://cdn.sofifa.com/teams/3/light_60.png,Blackburn Rovers, English League Championship (2),70,73,70,70,Pressure On Heavy Touch,Balanced,D. Lenihan,S. Downing,S. Downing,S. Downing,S. Downing,A. Armstrong,S. Downing,S. Downing,24.64,24.53,Euros-5.5M,Ivy Lane,Burnley,https://fbref.com/en/squads/e090f40b/history/Blackburn-Rovers-Stats,https://fbref.com/en/squads/e090f40b/Blackburn-Rovers-Stat,M,1992-1993,2019-2020,26,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/e090f40b.png
32,33,https://cdn.sofifa.com/teams/12/light_60.png,Middlesbrough, English League Championship (2),70,70,71,70,Drop Back,Balanced,J. Howson,L. Wing,P. McNair,L. Wing,L. Wing,P. McNair,P. McNair,P. McNair,25.09,23.5,Euros-15M,Riverside Stadium,Newcastle United,https://fbref.com/en/squads/7f59c601/history/Middlesbrough-Stats,https://fbref.com/en/squads/7f59c601/Middlesbrough-Stat,M,1992-1993,2019-2020,25,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/7f59c601.png
33,34,https://cdn.sofifa.com/teams/88/light_60.png,Birmingham City, English League Championship (2),70,71,71,71,Balanced,Balanced,H. Dean,J. Bela,D. Crowley,J. Bela,J. Bela,L. Jutkiewicz,D. Crowley,D. Crowley,26.64,24.43,Euros-4M,Stade Municipal,Aston Villa,https://fbref.com/en/squads/ec79b7c2/history/Birmingham-City-Stats,https://fbref.com/en/squads/ec79b7c2/Birmingham-City-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/ec79b7c2.png
34,35,https://cdn.sofifa.com/teams/97/light_60.png,Millwall, English League Championship (2),70,69,69,70,Balanced,Balanced,S. Hutchinson,J. Wallace,J. Wallace,J. Wallace,J. Wallace,J. Wallace,J. Wallace,J. Wallace,25.36,24.53,Euros-3M,Ivy Lane,West Ham United,https://fbref.com/en/squads/e3c537a1/history/Millwall-Stats,https://fbref.com/en/squads/e3c537a1/Millwall-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/e3c537a1.png
35,38,https://cdn.sofifa.com/teams/15/light_60.png,Queens Park Rangers, English League Championship (2),69,71,69,69,Balanced,Balanced,G. Hall,R. Manning,R. Manning,R. Manning,R. Manning,E. Eze,R. Manning,R. Manning,26.55,23.17,Euros-3.5M,Loftus Road,Fulham,https://fbref.com/en/squads/a757999c/history/Queens-Park-Rangers-Stats,https://fbref.com/en/squads/a757999c/Queens-Park-Rangers-Stat,M,1992-1993,2019-2020,22,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/a757999c.png
36,39,https://cdn.sofifa.com/teams/89/light_60.png,Charlton Athletic, English League Championship (2),69,68,69,67,Balanced,Balanced,J. Pearce,L. Taylor,J. Cullen,L. Taylor,L. Taylor,L. Taylor,J. Cullen,E. Oztumer,26.36,24.73,Euros-3M,Forest Park Stadium (Square Ground),Millwall,https://fbref.com/en/squads/7a8db6d4/history/Charlton-Athletic-Stats,https://fbref.com/en/squads/7a8db6d4/Charlton-Athletic-Stat,M,1998-1999,2019-2020,21,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/7a8db6d4.png
37,40,https://cdn.sofifa.com/teams/1917/light_60.png,Wigan Athletic, English League Championship (2),69,69,68,69,Balanced,Long Ball,S. Morsy,G. Roberts,G. Roberts,G. Roberts,G. Roberts,K. Moore,G. Roberts,J. Williams,26.82,24.83,Euros-4.5M,Ivy Lane,Bolton Wanderers,https://fbref.com/en/squads/e59ddc76/history/Wigan-Athletic-Stats,https://fbref.com/en/squads/e59ddc76/Wigan-Athletic-Stat,M,2002-2003,2019-2020,18,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/e59ddc76.png
38,41,https://cdn.sofifa.com/teams/1923/light_60.png,Luton Town, English League Championship (2),68,69,68,67,Balanced,Balanced,S. Bradley,I. Brown,I. Brown,I. Brown,I. Brown,J. Collins,I. Brown,I. Brown,24.82,25.17,Euros-2M,Court Lane,Watford,https://fbref.com/en/squads/e297cd13/history/Luton-Town-Stats,https://fbref.com/en/squads/e297cd13/Luton-Town-Stat,M,2002-2003,2019-2020,18,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/e297cd13.png
39,44,https://cdn.sofifa.com/teams/1932/light_60.png,Barnsley, English League Championship (2),67,67,68,66,Pressure On Heavy Touch,Balanced,A. Mowatt,A. Mowatt,A. Mowatt,A. Mowatt,A. Mowatt,C. Woodrow,A. Mowatt,A. Mowatt,22.27,21.53,Euros-3M,Ivy Lane,Sheffield United,https://fbref.com/en/squads/293cb36b/history/Barnsley-Stats,https://fbref.com/en/squads/293cb36b/Barnsley-Stat,M,1997-1998,2019-2020,20,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/293cb36b.png
40,45,https://cdn.sofifa.com/teams/1797/light_60.png,Rotherham United, English League One (3),66,66,65,66,Balanced,Long Ball,R. Wood,D. Barlaser,D. Barlaser,D. Barlaser,D. Barlaser,M. Smith,D. Barlaser,D. Barlaser,25.0,24.96,Euros-1.8M,Molton Road (Sheldon Stadium),Sheffield Wednesday,https://fbref.com/en/squads/375d66f1/history/Rotherham-United-Stats,https://fbref.com/en/squads/375d66f1/Rotherham-United-Stat,M,2001-2002,2019-2020,19,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/375d66f1.png
41,46,https://cdn.sofifa.com/teams/94/light_60.png,Ipswich Town, English League One (3),66,67,66,65,Balanced,Balanced,L. Chambers,G. Edwards,G. Edwards,G. Edwards,G. Edwards,J. Norwood,G. Edwards,L. Garbutt,27.18,24.39,Euros-2.8M,Ivy Lane,Norwich City,https://fbref.com/en/squads/b74092de/history/Ipswich-Town-Stats,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stat,M,1992-1993,2019-2020,23,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b74092de.png
42,47,https://cdn.sofifa.com/teams/112260/light_60.png,Fleetwood Town, English League One (3),66,67,66,64,Press After Possession Loss,Balanced,P. Coutts,D. Andrew,P. Coutts,D. Andrew,D. Andrew,P. Madden,P. Coutts,P. Coutts,25.27,23.79,Euros-750K,Crown Lane,Blackpool,https://fbref.com/en/squads/d6a369a2/history/Fleetwood-Town-Stats,https://fbref.com/en/squads/d6a369a2/Fleetwood-Town-Stat,M,2010-2011,2019-2020,10,1,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d6a369a2.png
43,48,https://cdn.sofifa.com/teams/1926/light_60.png,Blackpool, English League One (3),66,66,65,64,Drop Back,Balanced,B. Heneghan,K. Dewsbury-Hall,K. Dewsbury-Hall,K. Dewsbury-Hall,K. Dewsbury-Hall,A. Gnanduillet,C. Ronan,K. Dewsbury-Hall,24.64,24.07,Euros-750K,Molton Road (Sheldon Stadium),Preston North End,https://fbref.com/en/squads/7cbf5cb4/history/Blackpool-Stats,https://fbref.com/en/squads/7cbf5cb4/Blackpool-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/7cbf5cb4.png
44,49,https://cdn.sofifa.com/teams/1938/light_60.png,Peterborough United, English League One (3),66,68,66,65,Drop Back,Fast Build Up,M. Beevers,S. Szmodics,S. Szmodics,S. Szmodics,S. Szmodics,I. Toney,S. Szmodics,S. Szmodics,23.91,22.81,Euros-2M,Court Lane,Cambridge United,https://fbref.com/en/squads/d6e6321c/history/Peterborough-United-Stats,https://fbref.com/en/squads/d6e6321c/Peterborough-United-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d6e6321c.png
45,50,https://cdn.sofifa.com/teams/1951/light_60.png,Oxford United, English League One (3),66,65,67,66,Balanced,Balanced,R. Dickie,J. Henry,J. Henry,J. Henry,J. Henry,J. Henry,J. Henry,J. Henry,24.82,23.07,Euros-1M,Court Lane,Swindon Town,https://fbref.com/en/squads/604617a2/history/Oxford-United-Stats,https://fbref.com/en/squads/604617a2/Oxford-United-Stat,M,2002-2003,2019-2020,18,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/604617a2.png
46,51,https://cdn.sofifa.com/teams/1790/light_60.png,Portsmouth, English League One (3),66,67,66,65,Balanced,Balanced,T. Naylor,R. Curtis,R. Curtis,R. Curtis,R. Curtis,J. Marquis,S. Seddon,S. Seddon,24.36,24.0,Euros-2M,Fratton Park,Southampton,https://fbref.com/en/squads/76ffc013/history/Portsmouth-Stats,https://fbref.com/en/squads/76ffc013/Portsmouth-Stat,M,2001-2002,2019-2020,19,2,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/76ffc013.png
47,52,https://cdn.sofifa.com/teams/4/light_60.png,Bolton Wanderers, English League One (3),65,67,64,64,Balanced,Possession,J. Lowe,J. Emmanuel,E. Hamilton,E. Hamilton,J. Emmanuel,D. Murphy,L. Murphy,E. Hamilton,24.73,23.43,Euros-500K,Sanderson Park (FIFA 13 NEW generic),Wigan Athletic,https://fbref.com/en/squads/445d3104/history/Bolton-Wanderers-Stats,https://fbref.com/en/squads/445d3104/Bolton-Wanderers-Stat,M,1995-1996,2019-2020,21,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/445d3104.png
